Specialty,Can be subspecialty of,Diagnostic (D) or therapeutic (T) specialty,Surgical (S) or internal medicine specialty (I),Age range of patients,Organ-based (O) or technique-based (T)
Allergy and Immunology,Paediatrics or Internal medicine,Both,I,All,O
Anaesthetics,None,T,S,All,T
Pathology,None,D,Neither,All,T
Cardiology,Internal medicine,T,I,Adults,O
Paediatric cardiology,Paediatrics,T,I,Paediatric,O
Cardiothoracic surgery,General surgery,T,S,Adults,O
Child and adolescent psychiatry and psychotherapy,None,T,I,Paediatric,O
Clinical neurophysiology,Neurology,D,I,All,Both
Dermato-Venereology,None,T,I,All,O
Emergency Medicine,None,T & D,I,All,O & T
Endocrinology,Internal medicine,T,I,Adults,O
Gastroenterology,Internal medicine,T,I,Adults,O
Geriatrics,Internal medicine,T,I,Geriatric,Multidisciplinary
Gynaecology and obstetrics,None,T,S,All,O
Health Informatics,None,T & D,Neither,All,Multidisciplinary
Infectious diseases,Internal medicine,T,I,Variable,Neither
Internal Medicine,None,T,I,Adults,Neither
Interventional Radiology,Radiology,T,Both,All,Multidisciplinary
Vascular medicine,Internal medicine,T,I,Adults,O
Microbiology,None,D,I,All,T
Nephrology,Internal medicine,T,I,Adults,O
Neurology,None,T,I,Adults,O
Neurosurgery,Surgery,T,S,All,O
Nuclear medicine,None,D,I,All,T
Occupational medicine,None,T,I,Working age,Multidisciplinary
Ophthalmology,None,T,S,All,O
Orthopaedics,General surgery,T,S,All,O
Oral and Maxillofacial Surgery,Several,T,S,All,O
Otorhinolaryngology,None,T,S,All,O
Paediatrics,None,T,I,Paediatric,Neither
Paediatric allergology,Paediatrics,T,I,Paediatric,O
Paediatric endocrinology and diabetes,Paediatrics,T,I,Paediatric,O
"Paediatric gastroenterology, hepatology and nutrition",Paediatrics,T,I,Paediatric,O
Paediatric haematology and oncology,Paediatrics,T,I,Paediatric,O
Paediatric infectious diseases,Paediatrics,T,I,Paediatric,O
Neonatology,Paediatrics,T,I,Neonatal,Neither
Paediatric Nephrology,Paediatrics,T,I,Paediatric,O
Paediatric respiratory medicine,Paediatrics,T,I,Paediatric,O
Paediatric rheumatology,Paediatrics,T,I,Paediatric,O
Paediatric surgery,General Surgery,T,S,Paediatric,O
Physical and Rehabilitation Medicine,None,T,I,Adults,Multidisciplinary
"Plastic, Reconstructive and Aesthetic Surgery",General surgery,T,S,All,O
Pneumology,Internal medicine,T,I,Adults,O
Psychiatry,Internal medicine,T,I,Adults,T
Public Health,None,Neither,Neither,All,T
Radiology,None,D,I,All,T
Neuroradiology,Radiology,D,I,All,Both
Radiotherapy,(unknown),T,Unknown,Unknown,T
General surgery,None,T,S,Variable,T
Urology,General surgery,T,S,All,O
Vascular surgery,General surgery,T,S,All,O
